Year,Make,Model,Car Name,Wheel Drive,Colour,Odometer,Inv,VIN,Retail,Price
2002,Chrysler,Concorde LXi FWD,Chrysler Concorde,FWD,SILVER,245305,I,2C3HD36M32H196490,AUTO,1200
2004,Jeep,Liberty Limited 4WD,Jeep Liberty,4WD,black,205000,I,1J4GL58K74W203537,AUTO,1200
2005,Chevrolet,Malibu LS FWD,Chevrolet Malibu,FWD,WHITE,199885,I,1G1ZT52875F158217,AUTO,1200
2006,Ford,F-150 XLT 4x4,Ford F-150,4WD,Black Clearcoat,176880,I,1FTRW14W16KB59343,AUTO,0
2006,Nissan,Altima 2.5 S FWD,Nissan Altima,FWD,Blue,206598,I,1N4AL11D96C124803,AUTO,1200
2008,Pontiac,G6 SE FWD,Pontiac G6,FWD,black,252953,I,1G2ZG57BX84104169,AUTO,1500
2012,Chrysler,200 Touring FWD,Chrysler 200,FWD,WHITE,138000,I,1C3CCBBG6CN143959,AUTO,4000
2012,Dodge,Grand Caravan SE FWD,Dodge Grand,FWD,Copper,107673,I,2C4RDGBG8CR302192,AUTO,9700
2012,Dodge,Grand Caravan Crew FWD,Dodge Grand,FWD,silver,136275,I,2C4RDGDG2CR392582,AUTO,10500
2012,Kia,Soul 2u FWD,Kia Soul,FWD,Green,115144,I,KNDJT2A66C7476582,AUTO,9800
2012,Kia,Soul 4u FWD,Kia Soul,FWD,WHITE,101643,I,KNDJT2A60C7382262,AUTO,9900
2013,Chevrolet,Trax LT FWD,Chevrolet Trax,FWD,Black,86020,I,3GNCJMSB6DL193660,AUTO,11995
2013,Chrysler,300  RWD,Chrysler 300,RWD,BLACK,109129,I,2C3CCAAG3DH722834,AUTO,13700
2013,Dodge,Charger SXT RWD,Dodge Charger,RWD,Red,140376,I,2C3CDXHG0DH593151,AUTO,13900
2013,Dodge,Dart Limited FWD,Dodge Dart,FWD,White,63656,I,1C3CDFCHXDD576042,AUTO,12700
2013,Dodge,Grand Caravan SXT FWD,Dodge Grand,FWD,,0,I,2C4RDGBG5DR701370,AUTO,12700
2013,Dodge,Journey Crew FWD,Dodge Journey,FWD,Grey,63474,I,3C4PDCCG9DT605365,AUTO,13995
2013,Dodge,Journey R/T AWD,Dodge Journey,AWD,Silver,127872,I,3C4PDDFG9DT657337,AUTO,13900
2013,FIAT,500 Lounge FWD,FIAT 500,FWD,White,99831,I,3C3CFFER6DT606440,AUTO,8900
2013,Ford,Edge SEL FWD,Ford Edge,FWD,Black,102839,I,2FMDK3J95DBE08102,AUTO,15995
2013,Ford,Escape SE 4WD,Ford Escape,4WD,Red,115653,I,1FMCU9GX3DUB57623,AUTO,14300
2013,Ford,Escape SE FWD,Ford Escape,FWD,Red,111114,I,1FMCU0GX0DUA81709,AUTO,12900
2013,Ford,Fiesta SE FWD,Ford Fiesta,FWD,Silver,38811,I,3FADP4EJ9DM206061,AUTO,9300
2013,Honda,Civic Sdn EX FWD,Honda Civic,FWD,Maroon,61826,I,2HGFB2F5XDH013800,AUTO,13300
2013,Hyundai,Elantra GL FWD,Hyundai Elantra,FWD,Black,83841,I,5NPDH4AE0DH283732,AUTO,9995
2013,Hyundai,Elantra GT GL FWD,Hyundai Elantra,FWD,White,105954,I,KMHD35LE9DU026975,AUTO,11300
2013,Hyundai,Santa Fe  FWD,Hyundai Santa,FWD,Silver,102008,I,KM8SM4HF3DU018225,AUTO,15300
2013,Hyundai,Veloster Turbo FWD,Hyundai Veloster,FWD,Black,82532,I,KMHTC6AE4DU132674,AUTO,14400
2013,Nissan,Altima 2.5 S FWD,Nissan Altima,FWD,White,74668,I,1N4AL3AP2DN486169,AUTO,11700
2013,Toyota,Corolla CE FWD,Toyota Corolla,FWD,,96898,I,2T1BU4EE3DC968579,AUTO,9900
2013,Volkswagen,Passat Trendline FWD,Volkswagen Passat,FWD,White,38327,I,1VWAH7A34DC124174,AUTO,12700
2014,Buick,Encore Premium AWD,Buick Encore,AWD,WHITE,47682,I,KL4CJHSB9EB616969,AUTO,15995
2014,Cadillac,ATS RWD RWD,Cadillac ATS,RWD,Black,54186,I,1G6AA5RAXE0185274,AUTO,16300
2014,Chevrolet,Cruze 2LT Front Wheel Drive,Chevrolet Cruze,FWD,Summit White,99873,I,1G1PE5SB3E7169738,AUTO,12300
2014,Chevrolet,Cruze 1LT FWD,Chevrolet Cruze,FWD,Silver,97854,I,1G1PC5SB0E7418860,AUTO,10300
2014,Chrysler,200 LX FWD,Chrysler 200,FWD,Silver,91619,I,1C3CCBAG9EN175731,AUTO,9995
2014,Dodge,Charger SE RWD,Dodge Charger,RWD,Grey,112031,I,2C3CDXBG2EH217514,AUTO,14300
2014,Dodge,Dart SXT FWD,Dodge Dart,FWD,White,103883,I,1C3CDFBB0ED776247,AUTO,9900
2014,Dodge,Dart SXT FWD,Dodge Dart,FWD,Grey,129905,I,1C3CDFBB7ED857648,AUTO,9900
2014,Dodge,Dart SXT FWD,Dodge Dart,FWD,Black,54751,I,1C3CDFBB6ED857480,AUTO,10995
2014,FIAT,500L Trekking FWD,FIAT 500L,FWD,Yellow,103336,I,ZFBCFADH1EZ004663,AUTO,10500
2014,Ford,Edge SEL AWD,Ford Edge,AWD,WHITE,102446,I,2FMDK4JC9EBA55303,AUTO,16995
2014,Ford,Escape SE FWD,Ford Escape,FWD,Black,90896,H,1FMCU0G90EUD40394,AUTO,14400
2014,Ford,F-150 STX RWD,Ford F-150,RWD,Grey,51865,I,1FTMF1CM8EFC37862,AUTO,19700
2014,Honda,CR-V LX AWD,Honda CR-V,AWD,WHITE,88274,I,2HKRM4H39EH104398,AUTO,16600
2014,Hyundai,Santa Fe Sport Premium FWD,Hyundai Santa,FWD,Black,90975,I,5XYZU3LB8EG158534,AUTO,14995
2014,Hyundai,Santa Fe Sport Luxury AWD,Hyundai Santa,AWD,Black,78898,I,5XYZUDLB7EG201928,AUTO,18995
2014,Jeep,Compass North 4WD,Jeep Compass,4WD,GRAY,80028,I,1C4NJDAB5ED700980,AUTO,13300
2014,Kia,Forte LX+ FWD,Kia Forte,FWD,Blue,106634,I,KNAFX4A69E5072547,AUTO,10600
2014,Kia,Sorento LX AWD,Kia Sorento,AWD,black,113593,I,5XYKTDA76EG433696,AUTO,12700
2015,Buick,Verano  FWD,Buick Verano,FWD,Black,54730,I,1G4PP5SK8F4156712,AUTO,13700
2015,Cadillac,ATS Sedan Standard RWD RWD,Cadillac ATS,RWD,Red,26375,I,1G6AA5RA0F0101173,AUTO,18300
2015,Cadillac,ATS Sedan Standard AWD AWD,Cadillac ATS,AWD,Silver,74953,I,1G6AG5RX5F0130901,AUTO,16500
2015,Cadillac,SRX Base FWD,Cadillac SRX,FWD,Black,77716,I,3GYFNAE32FS598009,AUTO,19700
2015,Chevrolet,Cruze 2LT FWD,Chevrolet Cruze,FWD,Silver,54586,I,1G1PE5SB3F7282686,AUTO,15300
